,index,Sentiment,Text
268,268,0,dont waste money
269,269,1,love headset
270,270,0,drain player may also potentially fry
271,271,1,worked perfectly
272,272,0,unreliable im giving
273,273,1,gave stars sound quality
274,274,0,avoid one
275,275,1,reversible plug works great
276,276,0,wasted little money earpiece
277,277,1,good phone
278,278,1,best rotating feature helpful
279,279,1,comfort whole family
280,280,1,good product good seller
281,281,1,love bluetooth
282,282,0,first doesnt wear well
283,283,1,impressed headset plantronics
284,284,1,got small adorable
285,285,1,great phone
286,286,0,wouldnt recommend buying product
287,287,0,piece junk
288,288,0,poorly contstruct hinge
289,289,1,item great installed let charged overnite working good every since problems
290,290,1,great phone
291,291,0,dont buy
292,292,1,excellent phone
293,293,0,purchase phone
294,294,1,voice recognition thru handset excellent
295,295,1,hands best phone ive ever
296,296,1,works great cat attacked phone scratched protective strip instead destroying screen
297,297,1,one works priced right
298,298,0,customer service terrible
299,299,0,battery life still long enough motorola razor vi
300,300,0,sending back
301,301,1,know made wise decision
302,302,1,someone shouldve invented sooner
303,303,1,good price
304,304,1,everything worked first trythe device certainly engineered clever way construction feels good
305,305,1,received quickly works great
306,306,1,working great
307,307,0,many people complained found headsets microphone weak
308,308,0,year old nokia tracfone holds charge lot better
309,309,0,care consumer one bit
310,310,1,good battery got really fast
311,311,0,instruction manual lacking
312,312,1,also slim enough fit alarm clock docking station without removing case
313,313,1,phone holds charge like new
314,314,0,battery unreliable well service use antena
315,315,0,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
316,316,1,gotten lot compliments
317,317,1,definitely must state allow cell phone usage driving
318,318,0,want money back
319,319,1,love device
320,320,1,also happy price
321,321,0,ordered product first unhappy immediately
322,322,0,ngage still lacking earbuds
323,323,1,able voice dialing car problem
324,324,0,bars cell phone home cant hear anything
325,325,1,good item low price
326,326,0,howeverthe riingtones best neither games
327,327,0,plug work well
328,328,0,amazon sucks
329,329,0,rip charge shipping
330,330,1,comfortable
331,331,1,battery working well replacement original came phone years ago
332,332,1,reception excellent
333,333,1,fits comfortably either ear sound clear loud charge lasts couple days
334,334,1,clear quality sound dont mess sound ipod since sound buttons headset
335,335,0,long lasting battery dont recharge frequentyly flip phones
336,336,0,obviously problem adhesive
337,337,0,disappointing
338,338,0,inexpensive piece would still expected better quality
339,339,0,practically useless add kind boost reception bought
340,340,1,excellent sound quality
341,341,0,happy
342,342,0,piece junk broke phone days
343,343,1,new battery works great phone
344,344,0,worst customer service
345,345,1,ive dropped phone times say even concrete phone still great knock wood
346,346,0,reception terrible full static
347,347,1,good audio quality
348,348,1,little device transformed organizational capability made life whole lot easier
349,349,0,sitting vehicle cradle belt headset lost signal
350,350,0,jerks phone
351,351,1,works like charm works advertised
352,352,1,comfortable nice range good battery life
353,353,0,network coverage los angeles horrible
354,354,0,excellent starter wireless headset
355,355,0,loudspeaker option great bumpers lights appealing
356,356,0,thing think could improve sound leaks headset
357,357,0,first reception sucks never bars ever
358,358,0,phone gets extremely hot
359,359,1,microphone also works well according people called applifies everything
360,360,1,nice design quality
361,361,0,also phone dropped case going save specially dropped face
362,362,1,light easy use clear reception transmission
363,363,0,bad fit way big
364,364,1,definitely good
365,365,1,awesome device
366,366,0,waste money
367,367,1,ordered motorola data cable got well finished working product
368,368,1,love phone
369,369,1,looking headset long time ive got couldnt happier
370,370,0,ill drivng along headset starts ringing reason
371,371,1,display excellent camera good year
372,372,1,battery life also great
373,373,0,worst phone ive ever months
374,374,0,good item worked started problems auto reverse tape player
375,375,0,embarassing also ears hurt try push ear plug ear
376,376,1,protects phone sides
377,377,0,average phone bad battery life operates weak network
378,378,1,clear skype calls long battery life long range
379,379,0,soyo technology sucks
380,380,1,great hands free device
381,381,1,even take self portraits outside exterior display cool
382,382,0,problem others mentioned
383,383,1,trying many many handsfree gadgets one finally works well
384,384,1,magical help
385,385,0,worst piece crap ever along verizon customer service
386,386,0,poor sound quality
387,387,1,best phone market
388,388,1,worked well
389,389,1,company shipped product promptly works well
390,390,1,exactly wanted
391,391,0,picture resolution far comparablypriced phones offering today
392,392,1,great deal
393,393,1,excellent product satisfied purchase
394,394,1,highly recommend encourage people give try
395,395,1,better youd expect
396,396,0,using earpieces left right thing stay ear
397,397,1,great product price
398,398,1,sounds good reasonably priced effective simple
399,399,0,still waiting im sure item would work well ever recieve
400,400,0,disappointment
401,401,1,prompt service
402,402,1,excellent product price
403,403,1,pleased headset
404,404,0,dont waste money time
405,405,1,especially love long battery life
406,406,0,stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes
407,407,1,works great
408,408,1,plantronics bluetooth excelent buy
409,409,0,came verizon cingulair nicer cell phones first thing noticed really bad service
410,410,0,ill looking new earpiece
411,411,1,highly recommend device everyone
412,412,1,jawbone era awesome
413,413,0,received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement
414,414,0,year battery went completely dead headset
415,415,1,used several phone two years one best
416,416,1,awesome new look fall
417,417,0,first phone ive cheaply made
418,418,0,att clear sound distorted yell talk
419,419,0,plastic breaks really easy clip
420,420,1,price good
421,421,0,dont make mistake
422,422,0,oh forgot also mention weird color effect phone
423,423,1,im using iriver spinn case fits fine
424,424,0,also area unit broke im fond magnetic strap
425,425,1,overall psyched phone appointments contacts gets great reception
426,426,1,every thing phone work perfectly like
427,427,0,another note phones appearance really looks rather bland especially black model
428,428,1,really easy
429,429,1,sanyo survived dozens drops blacktop without ill effect
430,430,1,fantastic earphones
431,431,1,finds cell phone right away enter car
432,432,0,low quality
433,433,1,highly recommend modest priced cellular phone
434,434,1,get better reception clarity phone ive
435,435,0,warning stay away
436,436,0,wish could return unit get back money
437,437,1,awsome device works great
438,438,0,used talk hours battery would literally drained dying
439,439,0,dont find bad unit comes one earpad onlyi would recommend anyone
440,440,0,displeased
441,441,0,might gotten defect would risk buying built quality alone
442,442,0,made case small difficult install
443,443,1,restored phone like new performance
444,444,1,would recommend purchasing jabra jx series works flawlessly moto q go figure
445,445,1,searched internet found one best value
446,446,0,fit
447,447,1,happy product
448,448,1,screen size big key pad lit well enough camera quality excellent camera phone
449,449,0,theres really nothing bad say headset
450,450,1,im glad found product amazon hard find wasnt high priced
451,451,1,portable works
452,452,1,colleague get great receptiona little expensive performance great
453,453,0,even fully charged went bed turned blue tooth wifi noticed left morning
454,454,0,ive also problems phone reading memory card always turn
455,455,0,good wearing hat sunglasses
456,456,1,timely shipment quality product
457,457,1,nice solid keyboard
458,458,1,well made fits surefire gx perfectly
459,459,0,horrible phone
460,460,0,bt battery junk
461,461,1,would recommend others
462,462,0,cant get software work computer
463,463,0,disappointed
464,464,0,poor voice clarity
465,465,1,battery works great
466,466,0,buyers remorse one
467,467,0,disappointed accessoryone
468,468,0,find inexcusable probably returning phone perhaps changing carriers
469,469,1,looks great strong
470,470,1,tmobile service years pretty happy
471,471,0,update procedure difficult cumbersome
472,472,0,disappointment hate anything goes ear
473,473,1,great software motorolas
474,474,1,delivery time
475,475,1,easy use
476,476,0,uncomfortable ear dont use lg vx env
477,477,0,volume switch rocketed unit destination unknown
478,478,1,holds charge long time reasonably comfortable longwearing conditions quality sound tremendous
479,479,0,id like return
480,480,1,keyboard really worthwhile usefulness sturdy enough dont expect problems
481,481,0,verizons bills however difficult understand even though pricing plans simple
482,482,1,charging overnight batteries work great
483,483,1,wont regret
484,484,1,love phone
485,485,0,disappointment
486,486,0,user friendly
487,487,0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
488,488,0,exchanged phone even problem
489,489,0,results phone either stuck max volume mute
490,490,1,pda rocks
491,491,1,super charged use small hybrid palmtopcameracellphone excels roles
492,492,1,would definitely recommend jabra btv looking comfort clarity great price
493,493,1,verizon years ago really liked service
494,494,0,pretty piece junk
495,495,0,plug wrong size
496,496,1,works described
497,497,0,save money ive item months
498,498,0,bad purchase
499,499,1,well im satisfied
500,500,1,bose noise cancelling amazing important nyc commuter
501,501,1,battery excellent bargain
502,502,0,defective crap
503,503,0,would given star able
504,504,1,wear glasses fits fine
505,505,0,sound quality device unacceptableunless really quiet area almost hear nothing
506,506,0,would recommend item anyone
507,507,0,holster arrived match photo ad
508,508,1,greatno problems
509,509,0,earlier review noted plug charger nothing happens
510,510,1,frog phone charm adorable eye catching
511,511,0,never know pushed hard enough right number times function want
512,512,1,sound clear people talk amazed quality
513,513,1,got aluminum case new palm vx worked really wellit protected handheld perfectly far
514,514,1,good product well made
515,515,1,mobile phone tools must
516,516,1,impressed job motorola sturdiness phone
517,517,1,received orders well within shipping timeframe everything good working order overall excited source
518,518,1,phone sturdy waterproof
519,519,0,impressed would recommend item anyone
520,520,0,complaint standard sound volume little low even turned
521,521,1,thanks amazon things need good price
522,522,1,ended sliding edge pants back pockets instead
523,523,1,go store bought new nokia phone working great
524,524,1,works great
525,525,0,really ugly
526,526,0,horrible switch times
527,527,1,noise shield incrediable
528,528,0,real improvement
529,529,1,razr battery good buy
530,530,1,keep good work amazon
531,531,0,refuse refund replace
532,532,0,unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening
533,533,0,basically threw money window nothing
534,534,1,great case price
535,535,0,took one drop inches kitchen counter crackedi impressed laughing
536,536,1,bluetooth range good days ago left phone trunk got call carried conversation without hitch
537,537,1,small sleek impressive looking practical setup ample storage place
538,538,1,eargels channel sound directly ear seem increase sound volume clarity
539,539,0,none new ones ever quite worked properly
540,540,1,glad purchased
541,541,0,ive missed numerous calls reason
542,542,0,perhaps phone defective people hear use
543,543,0,dont buy product
544,544,0,sucked stuff work phone
545,545,1,shifting bubbling peeling even scratch nothingi couldnt happier new one droid
546,546,0,worst software ever used could give zero stars would
547,547,0,trying make call exercise frustration
548,548,0,case flimsy piece plastic front side protection whatsoever
549,549,1,jabra earset happy sound quality especially outgoing better
550,550,1,love camera really pretty good quality
551,551,1,thank great service
552,552,1,total package
553,553,1,seller understanding patient would definitely buy
554,554,0,give wirefly stari contact cingularatt inform practice
555,555,0,aggravating
556,556,1,great product price
557,557,1,purchased family friends enjoy clarity ease use
558,558,1,virgin wireless rocks cheap little phone
559,559,0,none works dont buy
560,560,0,muddy low quality sound casing around wires insert poorly super glued slid
561,561,0,please dont waste money
562,562,1,im quite satisfied purchase
563,563,0,looking good quality motorola headset keep looking isnt
564,564,0,yet plantronincs continues use flawed charger design
565,565,0,disapointing results
566,566,0,cumbersome design
567,567,1,great new packaged nice works good problems came less time expected
568,568,1,great product
569,569,0,piece crap
570,570,0,experience terrible fourth bluetooth headset much comfortable last jabra hated
571,571,1,fixes problems
572,572,0,worst ever
573,573,1,happy
574,574,1,ive trouble accessing internet downloading ringtones performing functions
575,575,0,barely ever hear constantly saying
576,576,0,battery life highly unacceptable
577,577,0,company joke
578,578,1,everything description said would
579,579,0,due happening every call forced stop using headset
580,580,1,works great car charger especially plug two adapters time
581,581,0,verizon tech support walked procedures none worked ended hard reset wiping data
582,582,0,voice quality signal strength dropped calls
583,583,1,plays louder speaker size price low would think quality lacking however
584,584,1,better expected
585,585,0,feels poorly constructed menus difficult navigate buttons recessed difficult push
586,586,1,battery holding well
587,587,0,also difficult put onid recommend avoiding product
588,588,0,used two days wasnt always easy hear
589,589,0,got car charger even week charger brokeni went plug started smoking
590,590,0,sprint terrible customer service
591,591,1,linked phone without effort
592,592,1,cool
593,593,1,easy use
594,594,1,better new
595,595,0,possesed get junk idea
596,596,0,piece trash
597,597,1,pretty good product
598,598,1,great phone
599,599,1,price amazon excellent product would highly recommend
600,600,1,research development division obviously knows theyre
601,601,0,real killer volume course breaking
602,602,1,phones working fine
603,603,1,happy product
604,604,0,poor construction
605,605,0,infuriating
606,606,1,overall would recommend phone new walkman
607,607,0,sprint charges service
608,608,0,cheap feel look cheap
609,609,1,fits ear well comfortable
610,610,0,doesnt work europe asia
611,611,1,clipping belt deffinitely make feel like cents upandcoming
612,612,1,like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear
613,613,1,amazed quick arrival two original lg cell phone batteries fraction price
614,614,0,worst phone samsungcrap crappy samsung e worst ever seeen
615,615,0,charger worked week completely stopped charging phone
616,616,0,poor product
617,617,0,however needed better instructions
618,618,0,need two hands operate screenthis software interface decade old compete new software designs
619,619,1,worked well paired treo w skype headset pc using usb bluetooth transceiver
620,620,0,steer clear product go genuine palm replacementr pens come threepack
621,621,0,buy buyit sucks
622,622,1,great product sure beats using fingers
623,623,0,plus seriously believe worth steep price point
624,624,1,cases ive tried normally fall apart months one seems long haul
625,625,0,dissapointing performance
626,626,0,dont make mistake please dont buy phone
627,627,0,phone might well worst ive ever brand
628,628,0,case less extra originally put later discarded scratched ear
629,629,1,recommend igo anyone different brand cell phonesmp players family
630,630,0,dont bother go store
631,631,1,posted detailed comments grey black phone fire red great color
632,632,1,problem item would order needed
633,633,0,get pay guess
634,634,1,software great job could also make ringtones form existing cds without internet connection
635,635,1,im surprised good quality car charger theres much reviews
636,636,1,fabulous
637,637,0,however bt headsets currently good real time games like firstperson shooters since audio delay messes
638,638,1,used bitpim free program find internetto transfer data phonethe price cable excellent
639,639,0,disappointing accessory good manufacturer
640,640,0,performed awful muffled tinny incoming sound severe echo end call
641,641,1,windresistant
642,642,0,obviously terrible customer service get pay
643,643,1,last forever overly expensive replaceeasy operate sound much better others tried
644,644,0,contacted company told although unit still warranty couldnt produce receipt luck
645,645,0,linksys way exchange bad phone refurb unit something
646,646,1,phone sturdy nokia bar phones
647,647,1,great phone
648,648,0,placed treo case snug lot extra room sides
649,649,1,im pleased
650,650,0,battery terrible
651,651,1,found product easy set use
652,652,0,earpiece large heavyit keeps falling ear
653,653,0,utter crap sound quality terrible
654,654,0,charger arrived within promised timeframe work
655,655,1,ear loop needed tiny sound great
656,656,0,finally three four times spring latch broke could use longer visor
657,657,1,handsfree part works fine car tries download address book treo rebootsoverall still rate device high
658,658,0,talk useless customer service
659,659,0,felt light tinny
660,660,0,fit palm tungsten e broke first time tried plug
661,661,1,im happy purchase good quality low price
662,662,1,love look feel samsung flipphones
663,663,1,welldesigned sharp blue nice color
664,664,1,everything
665,665,0,could recommend
666,666,1,nice sound
667,667,0,looks good picture case huge disappointment
668,668,1,much less jawbone going replace
669,669,1,setup went smoothly
670,670,0,extremely slow takes forever anything
671,671,0,must study anyone interested worst sins industrial design
672,672,0,first thing happened tracking
673,673,1,well made easy access phone handy detachable belt clip
674,674,0,continue pairing periodically since somehow kept dropping
675,675,0,cant upload ringtones third party
676,676,0,bluetooth work phone locks screens flash makes calls randomly pocket locked
677,677,0,truly awful
678,678,1,works fine motorola cellphone lot better wornout battery
679,679,1,volume ringer real good choices loud
680,680,0,none tones acceptable
681,681,0,camera color balance awful
682,682,0,product clearly ready prime time dont care cool looks cant tell call coming worthless
683,683,1,love ringtones upbeat
684,684,0,chinese forgeries abound
685,685,1,easy pair samsung cell
686,686,0,instructions didnt explain microphone jack could used
687,687,0,would advise purchase item never worked well
688,688,0,bad pay month service
689,689,1,works well
690,690,0,nokia ca usb cable work phone
691,691,1,clear crisp sound
692,692,1,use smallest earpieces provided stays pretty well
693,693,0,biggest complaint battery drains superfast
694,694,0,design might ergonomic theory could stand ear
695,695,0,buy want use holster
696,696,1,phone also take great pictures even video clips
697,697,0,doesnt make look cool
698,698,1,ears occupied background distracting
699,699,1,comfortable fit need headset comfortable least hour time entire day
700,700,0,also phone doesnt seem accept anything except cbr mps preferably ripped windows media player
701,701,1,cant beat price
702,702,1,comes strong light use light camera shots even flash sos signals seriously
703,703,1,lightweight works well
704,704,0,beware
705,705,1,love cable allows connect miniusb device pc
706,706,0,anyone near hear part conversation
707,707,1,cool cases open allowing screen get scratched
708,708,0,bought phone replacement startac regretted since
709,709,1,appears actually outperform original battery china came vi
710,710,0,cant store anything phone numbers sim
711,711,0,lasts less minutes actually try use phonemy wife phone problem
712,712,0,poor quality
713,713,1,jabra ear gels r best
714,714,0,worth
715,715,0,phone crashed completely get replaced
716,716,1,quit working id used months purchased another one best headset ive ever owned
717,717,0,unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc
718,718,1,great phone
719,719,0,simply want small flip phone look elsewhere extra bells whistles mediocre
720,720,1,good value works fine power via usb car wall outlet
721,721,1,phone doesnt slide around car grip prevents phone slipping hand
722,722,1,simply best bluetooth headset sound quality
723,723,0,think plan onethis sure last moto phone
724,724,1,span hour two people exclaim whoa new phone tv
725,725,1,always used corded headsets freedom wireless helpful
726,726,1,case passed one year mark shows signs wear functional
727,727,1,leather nice soft fit tight cut face good shape
728,728,1,everything need couldnt ask
729,729,0,receiving using product days broke
730,730,1,product great makes working lot easier go copier waiting hold something
731,731,0,none three sizes sent headset would stay ears
732,732,1,tmobile best customer service anywhere
733,733,1,arrived quickly much less expensive others sold
734,734,0,tried units failed within months pros
735,735,1,provides good protection looks classy
736,736,1,krussel always good
737,737,1,tracfonewebsite user friendly makes easy toactivate etc
738,738,1,design good
739,739,1,great reception time
740,740,1,would highly recommend product
741,741,0,couldnt use unit sunglasses good texas
742,742,0,dit work time nokia
743,743,0,bought mainly charger broke soon purchasing
744,744,0,like loud buzzing override conversations phone
745,745,1,fantastic buy get whatever next phone
746,746,0,stay away store careful
747,747,1,blueant supertooth handsfree phone speaker awesome
748,748,0,fit
749,749,1,item arrived quickly works great metro pcs samsung schr slider phone sony premium sound ear plugs
750,750,1,light plenty battery capacity confortable wear somewhat extended periods time
751,751,0,disappointing
752,752,1,blue ant easy use
753,753,1,cheap hey works pleasantly suprised given low cost item
754,754,0,camera phone may used dustpan indoors id rather using disposable
755,755,0,days later puff smoke came phone use
756,756,1,convenient simple use gets job done makes car ride much smoother
757,757,0,nano stated itmy son dissapointed
758,758,1,sound quality excellent well
759,759,1,best headset used
760,760,0,would reccommend
761,761,1,around years carries highest quality antiglare screen protector found date
762,762,1,wanted
763,763,0,particular model would work motorola q smartphone
764,764,0,wont work right atleast
765,765,0,addition feels amp looks phone lightweight cheap plastic
766,766,0,warranty problems reoccurebottom line put money somewhere else cingular support
767,767,0,really wanted plantronics right one many issues methe good
768,768,1,great product
769,769,1,crisp clear
770,770,0,first charge kept going dead minutes
771,771,0,cheap plastic creaks like old wooden floor
772,772,0,get absolutely horrible reception apartment phones problem
773,773,1,reception generally good
774,774,1,excellent sound battery life inconspicuous boot
775,775,1,great bluetooth
776,776,1,highly recommend case
777,777,1,worthwhile
778,778,1,great deal
779,779,0,phone got year old slowly breaking despite much care part
780,780,0,sorry made purchase
781,781,0,bought hoping could make bluetooth headset fit better things made impossible wear
782,782,0,treo tmobile refused replace forced buy another phone without kind upgrade discount
783,783,0,horrible
784,784,0,dont think would hold securly belt
785,785,0,allows possibility double booking date time first
786,786,0,work weeks break
787,787,1,simple use like
